timestamp,humidity,pm_10,pm_2_5,temperature,dayofweek,month,day,pm_2_5_lag_1,pm_2_5_lag_2,pm_2_5_lag_3,pm_2_5_lag_4,pm_2_5_lag_5,pm_2_5_lag_6,pm_2_5_lag_7
2023-04-04 17:00:00,52.60325114,18.18333333,16.01666667,38.85571289,1,4,4,17.75,16.73333333,14.48333333,13.83333333,14.73333333,13.35,17.4
2023-04-04 18:00:00,56.35996501,4.216666667,3.766666667,32.17272949,1,4,4,16.01666667,17.75,16.73333333,14.48333333,13.83333333,14.73333333,13.35
2023-04-04 19:00:00,57.23144531,4.766666667,4.366666667,31.24134827,1,4,4,3.766666667,16.01666667,17.75,16.73333333,14.48333333,13.83333333,14.73333333
2023-04-04 20:00:00,58.13842773,5.766666667,5.133333333,31.21331787,1,4,4,4.366666667,3.766666667,16.01666667,17.75,16.73333333,14.48333333,13.83333333
2023-04-04 21:00:00,59.28102691,9.862068966,8.74137931,30.74425007,1,4,4,5.133333333,4.366666667,3.766666667,16.01666667,17.75,16.73333333,14.48333333
2023-04-04 22:00:00,60.93648275,10.11666667,9.2,29.61239624,1,4,4,8.74137931,5.133333333,4.366666667,3.766666667,16.01666667,17.75,16.73333333
2023-04-04 23:00:00,62.09074875,9.224137931,8.155172414,29.40361812,1,4,4,9.2,8.74137931,5.133333333,4.366666667,3.766666667,16.01666667,17.75
2023-04-05 00:00:00,62.65500825,9.362068966,8.448275862,30.00126806,2,4,5,8.155172414,9.2,8.74137931,5.133333333,4.366666667,3.766666667,16.01666667
2023-04-05 01:00:00,63.48805745,7.666666667,6.833333333,29.7183075,2,4,5,8.448275862,8.155172414,9.2,8.74137931,5.133333333,4.366666667,3.766666667
2023-04-05 02:00:00,64.41425524,11.94736842,10.50877193,29.27915874,2,4,5,6.833333333,8.448275862,8.155172414,9.2,8.74137931,5.133333333,4.366666667
2023-04-05 03:00:00,65.32368978,8.416666667,7.483333333,29.07965088,2,4,5,10.50877193,6.833333333,8.448275862,8.155172414,9.2,8.74137931,5.133333333
2023-04-05 04:00:00,65.92926025,6.933333333,5.933333333,29.14460754,2,4,5,7.483333333,10.50877193,6.833333333,8.448275862,8.155172414,9.2,8.74137931
2023-04-05 05:00:00,66.45599365,6.916666667,6.433333333,29.01301575,2,4,5,5.933333333,7.483333333,10.50877193,6.833333333,8.448275862,8.155172414,9.2
2023-04-05 06:00:00,67.21232786,6.0,5.711864407,28.7096599,2,4,5,6.433333333,5.933333333,7.483333333,10.50877193,6.833333333,8.448275862,8.155172414
2023-04-05 07:00:00,67.66682943,13.0,11.75,28.97138977,2,4,5,5.711864407,6.433333333,5.933333333,7.483333333,10.50877193,6.833333333,8.448275862
2023-04-05 08:00:00,64.94130452,12.9,11.98333333,33.90238953,2,4,5,11.75,5.711864407,6.433333333,5.933333333,7.483333333,10.50877193,6.833333333
2023-04-05 09:00:00,60.88429769,8.6,7.366666667,39.74966431,2,4,5,11.98333333,11.75,5.711864407,6.433333333,5.933333333,7.483333333,10.50877193
2023-04-05 10:00:00,57.82104492,12.9,11.88333333,43.59033203,2,4,5,7.366666667,11.98333333,11.75,5.711864407,6.433333333,5.933333333,7.483333333
